fid,name,ref,attendgru,function
22625582,setUrls,sets the value of urls and normalizes them,sets the urls to be used to construct the <UNK>,"

 public void setUrls(String[] theUrls) throws IllegalStateException {
		if (xmlProcessed)
			throw new IllegalStateException(illegalPostProssingMsg);
		
		if(theUrls != null) {
			this.urls = new String [theUrls.length];
			for(int i = 0; i < theUrls.length; i++)
				this.urls[i] = UrlHelper.normalize(theUrls[i]);
		}
		else
			this.urls = urls;
	} 
"
22626628,toString,provides a string representataion for this dir info,returns a string representation of this object,"

 public String toString() {
		StringBuffer ret = new StringBuffer();
		ret.append(""""format: """");
		ret.append(format);
		ret.append("""" directory: """");
		Object[] attributeKeys = attributes.keySet().toArray();
		for (int i = 0; i < attributeKeys.length; i++)
			ret.append(""""\n attribute: """" + attributeKeys[i].toString());
		return ret.toString();
	} 
"
22628734,setTopAttributes,populate top level attributes with opml type specific data attributes from,sets the top attribute of the <UNK> menu object,"

 private void setTopAttributes( Attributes from ) {
		for ( int i = 0; i < from.getLength(); i++ ) {
			topMenu.setAttribute( from.getLocalName( i ), from.getValue( i ) );
			topMenu.setAttribute( from.getQName( i ), from.getValue( i ) );
		}
	} 
"
7957602,print,print a textual description of this expr info,prints the graph,"

 	protected void print() {
			System.out.println(""""Print for """" + prototype + """"------------------"""");

			cfg.visit(new PrintVisitor() {
				Phi phi = null;

				public void visitBlock(final Block block) {
					phi = exprPhiAtBlock(block);
					super.visitBlock(block);
				}

				public void visitLabelStmt(final LabelStmt stmt) {
					super.visitLabelStmt(stmt);

					if (stmt.label().startsBlock()) {
						if (phi != null) {
							println(phi);
							phi = null;
						}
					}
				}
			});

			System.out.println(""""End Print ----------------------------"""");
		} 
"
31203037,addToTechnicalComment,adds to the technical comment about this project,adds a technical comment to the technical comment list,"

 public void addToTechnicalComment( final String add_to_technical_comment ) {
        if ( getTechnicalComment() != null
        &&   getTechnicalComment().length() > 0 ) {
            setTechnicalComment( getTechnicalComment()
                                 + """"\n"""" + add_to_technical_comment );
        }
        else {
            setTechnicalComment( add_to_technical_comment );
        }
    } 
"
31203138,setAdditionalSeqsOids,this sets or replaces the additional sequences oids in this project,set the additional oids oids,"

 public void setAdditionalSeqsOids( int[] add_seq_oids ) {

        _add_seq_oids = new ArrayList();

        if ( add_seq_oids == null ) {
            return;
        }

        for ( int i = 0; i < add_seq_oids.length; ++i ) {
            addAdditionalSeqsOid( add_seq_oids[ i ] );
        }

    } // setAddSegsOids( int[] ) 
42843931, 	public FieldContent put(Item item){
			FieldContent old_field = this.content;
			
			if (item.getUid() == this.content.getItem().getUid()) {
				if (content.getItem().isStackable()){ 
					this.content = new InventoryStack(content.getItem(), content.getCount()+1);
					return null;
				} else {this.content = new InventoryItem(item); return old_field;}
			} else {
				this.content = new InventoryItem(item); return old_field;
			}
		} 
"
17121898,compareTo,compares the tpoint object with other tpoint using timestamps first i,compares this object with the specified angle for order,"

 public int compareTo(TPoint o) {
    if ((this.value == o.value()) && (this.tstamp == o.tstamp())) {
      return 0;
    }
    else if (this.tstamp > o.tstamp) {
      return 1;
    }
    else if (this.tstamp < o.tstamp) {
      return -1;
    }
    else if (this.value > o.value) {
      return 1;
    }
    return -1;
  } 
"
40099556,removeSelection,removes the given entity from the basket,removes the selected item from the list,"

 public void removeSelection(IEntity selection) {

        // Assertions.
        if (selection == null) {
            String msg = """"Argument 'selection' cannot be null."""";
            throw new IllegalArgumentException(msg);
        }
        
        entitySel.remove(selection.getEntityId());
        if(selection.getType().equals(EntityType.MEMBER)){          
            memberCount--;
        }else{
            groupCount--;
        }
        
    } 
"
33993860,addIconPropertyDescriptor,this adds a property descriptor for the icon feature,this adds a property descriptor for the icon feature,"

 protected void addIconPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_ButtonWidget_icon_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_ButtonWidget_icon_feature"""", """"_UI_ButtonWidget_type""""),
				 UiPackage.Literals.BUTTON_WIDGET__ICON,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	} 
"
33993930,addMultiSelectionPropertyDescriptor,this adds a property descriptor for the multi selection feature,this adds a property descriptor for the multi selection feature,"

 protected void addMultiSelectionPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_TableWidget_multiSelection_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_TableWidget_multiSelection_feature"""", """"_UI_TableWidget_type""""),
				 UiPackage.Literals.TABLE_WIDGET__MULTI_SELECTION,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.BOOLEAN_VALUE_IMAGE,
				 null,
				 null));
	} 
"
33994017,addColumnsPropertyDescriptor,this adds a property descriptor for the columns feature,this adds a property descriptor for the columns feature,"

 protected void addColumnsPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_TableLayoutGroup_columns_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_TableLayoutGroup_columns_feature"""", """"_UI_TableLayoutGroup_type""""),
				 UiPackage.Literals.TABLE_LAYOUT_GROUP__COLUMNS,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.INTEGRAL_VALUE_IMAGE,
				 null,
				 null));
	} 
"
37824224,notifyProgressListeners,notify all of the progress listeners of a state change,notify listeners that the progress has occurred,"

  protected void notifyProgressListeners() {
      Enumeration enum = m_prProgressListeners.elements();
      ProgressListener thisListener = null;
      while( enum.hasMoreElements() ) {
         thisListener = (ProgressListener)enum.nextElement();
         thisListener.progressStateChanged( m_prUpgradeProgress );
      }
   } // notifyProgressListeners() 
34599430, public void setSigmaRx( double newSigmaRx) throws IllegalArgumentException, DimensionMismatchException {
		if (this.dimension != 6)
			throw new DimensionMismatchException(this.dimension + """"D-Punkt hat keine X-Drehung"""");
		if (newSigmaRx>0)
			this.sigmaRx = newSigmaRx;
		else
			throw new IllegalArgumentException(""""Standardabweichung muss groesser Null sein """" + newSigmaRx);
	} 
"
26493872,resolveValue,utility methods that resolve the value passed with for the given context,resolve the value of the given string,"

 protected String resolveValue(MagnetContext aContext, String aValue) throws RenderingException {
    try {
      if (aValue == null) {
        return null;
      } else {
        TemplateElementIF aTemplate = _theTemplateFactory.parse(aValue);
        return aTemplate.render(aContext);
      }
    } catch (TemplateException te) {
      throw new RenderingException(""""Unable to resolve the value """" + aValue, te);
    }
  } 
"
26494825,resolve,returns a list of advices contained in the group corresponding to this,resolve the given <UNK> defs,"

 public List resolve(Map defs) throws ConfigurationException {
    if(_id == null) {
      throw new ConfigurationException(
          """"'id' attribute not set on advice group reference"""");
    }

    Group group = (Group) defs.get(_id);

    if(group == null) {
      throw new ConfigurationException(""""No advice group matches ID: """" + _id);
    }

    return group.getAdvices();
  } 
"
26501411,doOutput,template method that can be overriden to log to another place than,output the message to the console,"

 protected void doOutput(int lvl, Object message, Throwable t) {
    System.out.print(""""["""");
    System.out.print(_taskName);
    System.out.print("""" - """");
    System.out.print(LEVEL[lvl]);
    System.out.print(""""]"""");
    System.out.println(message);

    if(t != null) {
      t.printStackTrace();
    }
  } 
"
29572299,listen,starts the server blocks indefinately,starts the server,"

 public void listen() throws IOException {
		logMessage(""""Server started at """" + this.getHostname() + """":"""" + this.getPort());
		while (true) {
			Socket socket = serverSocket.accept();
			logMessage(socket.getInetAddress().getCanonicalHostName() + """"has made a connection !"""");
			logMessage(""""Creating new listener"""");
			ListenThread task = new ListenThread(socket,this);
			logMessage(""""Adding new totemcontrolcomhandler"""");
			addHandlers(task);
			Thread listener = new Thread(task);
			logMessage(""""Starting new thread"""");
			listener.run();
		}
	} 
"
19344442,loadSystems,load the various systems from the db,loads the systems <UNK>,"

 private void loadSystems() {
		int i, num;
		SystemItem dtls;

		systemCombo.removeAllItems();

		systemCombo.addItem(""""<All>"""");

		dbLink = true;
		try {
			systems = copyBookInterface.getSystems();
		} catch (Exception ex) {
			if (message != null) {
				message.setText(ex.getMessage());
				message.setCaretPosition(1);
			}
			ex.printStackTrace();
			systems = new ArrayList<SystemItem>();
			dbLink = false;
		}

		num = systems.size();
		for (i = 0; i < num; i++) {
			dtls = systems.get(i);
			systemCombo.addItem(dtls.description);
		}

	} 
"
19344536,setCombo_Value,this method sets the vaule of combo value,sets the combo value,"

 public void setCombo_Value(String val) {

      if ((val == null || """""""".equals(val))
      && (Combo_Value == null || """""""".equals(Combo_Value))) {
          return;
      }

      if ((val == null) || (! val.equals(Combo_Value)) || (updateStatus == NULL_INT_VALUE)) {
           Combo_Value = val;
           updateStatus = UPDATED;
      }
  } 
"
19346491,checkSetLayout,checks layout set correctly,check the layout for the field,"

 private void checkSetLayout(int layout, String field) {

        filter.setLayoutIndex(layout);
        assertEquals(""""The layout Index was """" + filter.getLayoutIndex()
                + """" and not """" + layout, layout, filter.getLayoutIndex());

        String fld = fieldList.getValueAt(1, 0).toString();
        assertEquals(""""Expected field '"""" + field + """"' but got """" + fld,
                field, fld);
    } 
"
48209810,setButtonText,sets the button text,sets the button text,"

 private void setButtonText() {
		String txt = menuItem.getTitle() + """" (""""
				   + menuItem.getStock()
				   + """" in Stock)"""";
		try {
			Course tmpCourse = (Course)menuItem;
			if(tmpCourse.getCourseType() == Course.FIRST_COURSE) {
				txt = """"1st: """" + txt;
			} else {
				txt = """"2nd: """" + txt;
			}
		} catch (Exception e) {
			// TODO: handle exception
		}
		this.setText(txt);
	} 
"
24245709,fetchString,internal helper function read a string from the device,fetch a string from the data store,"

 protected String fetchString(int register, int len) {
		int ret = getData(register, byteBuff, 8);
		char [] charBuff = new char[len];
		for(int i=0;i<len;i++)
			charBuff[i] = (byteBuff[i] == 0 ? ' ' : (char)byteBuff[i]);
		return new String(charBuff, 0, len);
	} 
"
39298970,getApplicableLaw,selects the influence law which is applicable to a given influence,returns the influence of the given <UNK>,"

 public InfluenceLaw getApplicableLaw(Influence inf) {
        if (inf == null) {
            throw new IllegalArgumentException();
        }
        for (Iterator iter = influenceLaws.iterator(); iter.hasNext();) {
            InfluenceLaw infLaw = (InfluenceLaw) iter.next();
            if(infLaw.isApplicableTo(inf)) {
                return infLaw;
            }
        }
        return null;
    } 
"
39299426,liesBetween,check if a value lies between 2 other values,checks if the parametric point lies between two points,"

 private boolean liesBetween(double x1, double x2, double x3) {
    	if((x1 <= x2) 
    		&& (x3 >= x1 - ACCURACY && x3 <= x2 + ACCURACY))
    			return true;
    	if((x1 >= x2) 
    		&& (x3 >= x2 - ACCURACY && x3 <= x1 + ACCURACY))
    			return true;
    	
    	return false;
    
    } 
"
1810081,onAttach,this method is called when a widget is attached to the browsers document,this method is called when the widget is attached to the browsers,"

 protected void onAttach() {
    if (attached)
      return;

    attached = true;

    // Set the main element's event listener. This should only be set
    // while the widget is attached, because it creates a circular
    // reference between JavaScript and the DOM.
    DOM.setEventListener(getElement(), this);

    // Now that the widget is attached, call onLoad().
    onLoad();
  } 
"
1810886,setNamedItem,this function delegates to the native method code set named item code in,this function delegates to the native method code set code,"

 public Node setNamedItem(Node arg) {
    try {
      return NodeImpl.build(XMLParserImpl.setNamedItem(this.getJsObject(),
        ((DOMItem) arg).getJsObject()));
    } catch (JavaScriptException e) {
      throw new DOMNodeException(DOMNodeException.INVALID_MODIFICATION_ERR, e, this);
    }
  } 
"
20787007,store,stores a new element in the zip file with the given path,stores the given path into the file,"

 public void store(String path, InputStream stream) throws IOException {
    toIgnore.add(normalizePath(path));
    ZipEntry entry = new ZipEntry(path);
    zipOutput.putNextEntry(entry);
    IOUtils.copy(stream, zipOutput);
    zipOutput.closeEntry();
  } 
"
28953715,readResponse,read the entire response from the http post as a string,reads the response from the stream,"

 private String readResponse(InputStream stream) {
		BufferedReader input = new BufferedReader(new InputStreamReader(stream));
		StringBuffer sb = new StringBuffer();
		String line;
		try {
			line = input.readLine();
		} catch (IOException e) {
			line = null;
		}
		while (line != null) {
			if (!line.trim().equals("""""""")) {
				if (sb.length() > 0) sb.append(""""\n"""");
				sb.append(line);
			}
			try {
				line = input.readLine();
			} catch (IOException e) {
				line = null;
			}
		}
		return sb.toString();
	} 
"
36405409,appendDeclarations,p append declarations needed by the code note converter code to,p append declarations to a code <UNK> code,"

 public void appendDeclarations(LaTeXDocumentPortion pack, LaTeXDocumentPortion decl) {
        if (bContainsEndnotes) { pack.append(""""\\usepackage{endnotes}"""").nl(); }
        if (bContainsFootnotes) convertFootnotesConfiguration(decl);
        if (bContainsEndnotes) convertEndnotesConfiguration(decl);
    } 
"
26215341,updateGain,set the volume,update the gain of the given position,"

 private void updateGain() {
      int pos=getValue();
      int value = (int) (127 * (double) (pos / 100.0));
      MidiChannel[] cs = synthesizer.getChannels();
      for(int i=0;i<cs.length;i++) {
	cs[i].controlChange(7,value);
      }
    } 
"
42956622,initButtons,inits the buttons on the screen,initialize the buttons,"

 private void initButtons() {
		this.playButton = createButton(BUTTON_FILE_NAME_PREFIX + PLAY_BUTTON_FILE_NAME, PLAY_BUTTON_TOOLTIP);
		this.pauseButton = createButton(BUTTON_FILE_NAME_PREFIX + PAUSE_BUTTON_FILE_NAME, PAUSE_BUTTON_TOOLTIP);
		this.exitButton = createButton(BUTTON_FILE_NAME_PREFIX + EXIT_BUTTON_FILE_NAME, EXIT_BUTTON_TOOLTIP);
	} 
"
43303607,iconify,iconify the given frame,<UNK> the <UNK> frame,"

 public void iconify(final Frame frame) {
        Point loc = getIconifyLocation(frame);
        if (loc != null) {
            mouseMove(frame, loc.x, loc.y);
        }
        invokeLater(frame, new Runnable() {
            public void run() {
                frame.setState(Frame.ICONIFIED);
            }
        });
    } 
"
43310565,_componentDefinition,bugfix for wo component loading,returns the definition of the given component,"

 public WOComponentDefinition _componentDefinition(String s, NSArray nsarray) {
		if(ERXProperties.booleanForKeyWithDefault(""""er.extensions.ERXApplication.fixCachingEnabled"""", true)) {
			// _expectedLanguages already contains all the languages in all projects, so
			// there is no need to check for the ones that come in...
			return super._componentDefinition(s, _expectedLanguages());
		}
		return super._componentDefinition(s, nsarray);
	} 
"
47570692,goToRegistration,brings the user to the registration dialog,this method is called when the user clicks the button,"

 private void goToRegistration() {
		m_logo.setVisible(false);
		m_login.setText(""""Cancel"""");
		m_userLabel.setLocation(16, 4);
		m_username.setLocation(16, 24);
		m_passLabel.setLocation(16, 52);
		m_password.setLocation(16, 70);
		m_confirmPass.setVisible(true);
		m_confPassLabel.setVisible(true);
		m_male.setVisible(true);
		m_female.setVisible(true);
		this.setTitle(""""Registration"""");
	} 
"
47571713,saveToFile,save the move sets to a file,save the file to the file,"

 public void saveToFile(File f) {
        try {
            FileOutputStream file = new FileOutputStream(f);
            saveToFile(file);
            file.close();
        } catch (FileNotFoundException e) {
            e.printStackTrace();
        } catch (IOException e) {
            e.printStackTrace();
        }
    } 
"
47571922,getEffect,return the effect applied to this pokemon of a particular lock or,get the effect of the given lock,"

 public StatusEffect getEffect(int lock) {
        synchronized (m_statuses) {
            Iterator i = m_statuses.iterator();
            while (i.hasNext()) {
                StatusEffect eff = (StatusEffect)i.next();
                if ((eff == null) || !eff.isActive()) {
                    continue;
                }
                if (eff.getLock() == lock) {
                    return eff;
                }
            }
        }
        return null;
    } 
"
1694531,getUserNameFromCookie,get users name from cookie,get the user name from the cookie,"

 private String getUserNameFromCookie() throws Exception {
		String userName = null;
		// get user name
		Cookie[] cookies = servletRequest.getCookies();
		for (int i = 0; i < cookies.length; i++) {
			Cookie cookie = cookies[i];
			if (cookie != null && cookie.getName().equals(""""platform.username"""")) {
				String value = cookie.getValue();
				userName = DesEncrypter.getInstance().decrypt(value);
				break;
			}
		}

		return userName;

	} 
"
28631042,getMenuAdministracion,this method initializes menu administracion,this method initializes menu <UNK>,"

 private JMenu getMenuAdministracion() {
		if (menuAdministracion == null) {
			menuAdministracion = new JMenu();
			menuAdministracion.setText(Messages.getString(""""gui.GUI.57"""")); //$NON-NLS-1$
			menuAdministracion.setIcon(new ImageIcon(
					""""data/icons/package_system.png"""")); //$NON-NLS-1$
			menuAdministracion.add(getMenuItemAdminUsuarios());
			menuAdministracion.add(getMenuItemAdminResorces());
		}
		return menuAdministracion;
	} 
"
47629915,getPassword,fetches the password for a given account user and server,returns the password for the given user,"

 public String getPassword(String user, String server) {

		try {

			KeyStore.SecretKeyEntry entry2 = (KeyStore.SecretKeyEntry) store
					.getEntry(user + """"@"""" + server,
							new KeyStore.PasswordProtection(masterPassword));
			return new String(entry2.getSecretKey().getEncoded());
		} catch (KeyStoreException e) {
			e.printStackTrace();
		} catch (UnrecoverableEntryException ce) {
			ce.printStackTrace();
		} catch (NoSuchAlgorithmException ne) {
			ne.printStackTrace();
		}

		return null;
	} 
"
18911339,cleanupObject,overriden to close the statement,cleanup the prepared statement cache,"

 protected void cleanupObject(Object obj) {
		if (obj != null) {
			log.debug(""""PreparedStatementCache:cleanupObject class='""""
					+ obj.getClass() + """"'"""");
			log
					.debug(""""PreparedStatementCache:cleanupObject close a PreparedStatement o=""""
							+ """"'"""" + obj.toString() + """"'"""");

			try {
				((PreparedStatement) obj).close();
				// obj = null;
			} catch (SQLException e) {
				log
						.error(""""PreparedStatementCache:cleanupObject problem to close""""
								+ """"a PreparedStatement: """" + e);
			}
		}
	} 
"
18912425,tellAgain,forward some message to the participant,this method is called when the user has entered the,"

 protected void tellAgain(final QName message) throws RemoteException{
		final AbstractCoordParticipantProxy proxy =
			this.getParticipantProxy();

		if (State.MESSAGE_CANCEL.equals(message)){
			proxy.cancelOperation(null);
			
		}else if (State.MESSAGE_COMPENSATE.equals(message)){
			proxy.compensateOperation(null);

		}else if (State.MESSAGE_CLOSE.equals(message)){
			proxy.closeOperation(null);
			
		}else if (State.MESSAGE_EXITED.equals(message)){
			proxy.exitedOperation(null);
			
		}else if (State.MESSAGE_FAULTED.equals(message)){
			proxy.faultedOperation(null);
			
		}else if (State.MESSAGE_GETSTATUS.equals(message)){
			proxy.getStatusOperation(null);
			
		}else{
			throw new IllegalArgumentException(""""Sorry, cannot tell a participant """"+message);
		}
	} 
"
18929060,checkDescendantM,return true if member 2,checks if the member is a member of the join,"

 public boolean checkDescendantM(Member aMember, Member dMember) {
    mondrian.olap.Member monMember = ((MondrianMember) aMember).getMonMember();
    mondrian.olap.Member monDesc = ((MondrianMember) dMember).getMonMember();
    if (monDesc.isCalculatedInQuery() || monDesc.equals(monMember))
      return false;
    return monDesc.isChildOrEqualTo(monMember);
  } 
"
34425716,actionLoadNotes,called when the user selects to load the in game notes file,called when the user presses the load notes button,"

 private void actionLoadNotes() {
        enableUserActions(false);

        // set focus, otherwise it gives focus to """"clear"""" >> scary/not wanted
        multiSubmitButton.requestFocusInWindow();

        resetSingleTextFields();
        multipleGUIList.clearSelection();
        multipleResources = loadNotesFile();
        updateMultiList();
        enableUserActions(true);
    } 
"
34426334,addLimit,helper method which creates and adds an option for limit to the specified,adds the limit to the limit of the menu item,"

 private void addLimit(JPopupMenu popup) {
        JMenuItem limit = makeMenuItem(""""Write option: Limit days..."""",
                """"Specify a limit for the written output, in days"""",
                new ActionListener() {

                    @SuppressWarnings(""""synthetic-access"""")
                    @Override
                    public void actionPerformed(ActionEvent e) {
                        actionLimit();
                    }
                });
        popup.add(limit);
    } 
"
34426756,makeCenter,helper method which creates and returns a canvas for images,create a center image canvas,"

 private Component makeCenter() {
        imageCanvas = new JPanel();
        imageCanvas.addMouseListener(new MouseAdapter() {
            @SuppressWarnings(""""synthetic-access"""")
            @Override
            public void mouseClicked(MouseEvent e) {
                actionImageMouse(e);
            }
        });

        imageCanvas.add(new JLabel(new ImageIcon(
                SWGFrame.class.getResource(""""images/swg.png""""))));

        return new JScrollPane(imageCanvas);
    } 
"
34426938,initOptionsMenu,initiates and populates the options menu,initialize the options menu,"

 private void initOptionsMenu(JMenuBar bar) {
        optionsMenu = new JMenu(""""Options"""");
        optionsMenu.setToolTipText(""""Options for SWGAide"""");
        optionsMenu.setMnemonic(KeyEvent.VK_O);

        optionsMenu.add(optionsSWGCraftMenuItem());

        optionsMenu.setEnabled(true);
        bar.add(optionsMenu);
    } 
"
34427273,populateNewList,helper method which populates the gui list for resources which are new at,populates the list of new resources,"

 private void populateNewList() {
        newResources = mergeNewResources();
        SwingUtilities.invokeLater(new Runnable() {
            @SuppressWarnings(""""synthetic-access"""")
            @Override
            public void run() {
                newListModel.clear();
                for (Wrapper wr : newResources)
                    newListModel.addElement(wr);
            }
        });
    } 
"
39120328,toString,p returns the string representation of this matcher,returns a string representation of this region,"

 public String toString() {
        StringBuffer sb = new StringBuffer();
	sb.append(""""java.util.regex.Matcher"""");
	sb.append(""""[pattern="""" + pattern());
	sb.append("""" region="""");
	sb.append(regionStart() + """","""" + regionEnd());
        sb.append("""" lastmatch="""");
        if ((first >= 0) && (group() != null)) {
            sb.append(group());
        }
	sb.append(""""]"""");
	return sb.toString();
    } 
"
14467418,setUpMrj,attempts to retrieve mrj version and mrj major version information on the,inserts the test case,"

 private void setUpMrj() {
    Belvedere4.mrjVersion = System.getProperty(""""mrj.version"""");
    if (Belvedere4.mrjVersion == null) return;
    try {
      Belvedere4.mrjMajorVersion =
        Double.valueOf(Belvedere4.mrjVersion.substring(0, 3)).doubleValue();
    } catch (Exception e) {
      Belvedere4.mrjMajorVersion = 0;
    }
  } 
"
37762493,moveUpTarget,moves the given target up in the list of active targets,moves the target up target index up to the target,"

 public void moveUpTarget(int index) {
		Object target= targets.get(index);
		if (index == 0 || target == null) {
			return;
		}
		targets.set(index, targets.get(index - 1));
		targets.set(index - 1, target);
		log.debug(""""New ordering"""");
		for (int i = 0; i < targets.size(); i++) {
            log.debug(""""\t"""" + i + targets.get(i));
        }
	} 
"
18251847,addDbArgs,adds jailer cli arguments for db connection,add a new connection to the database,"

 public void addDbArgs(List<String> args) {
		args.add(currentConnection.driverClass);
		args.add(currentConnection.url);
		args.add(currentConnection.user);
		args.add(currentConnection.password);
		if (currentConnection.jar1.trim().length() > 0) {
			args.add(""""-jdbcjar"""");
			args.add(currentConnection.jar1.trim());
		}
		if (currentConnection.jar2.trim().length() > 0) {
			args.add(""""-jdbcjar2"""");
			args.add(currentConnection.jar2.trim());
		}
	} 
"
18252350,joinTableRender,gets render of an association for the join combobox,joins the table,"

 private String joinTableRender(Table from, Association association) {
    	int n = 0;
    	for (Association a: from.associations) {
    		if (a.destination == association.destination) {
    			++n;
    		}
    	}
    	return datamodel.getDisplayName(association.destination) + (n > 1? """" on """"  + association.getName() : """""""");
	} 
"
34105249,makeUniqueParagraphForGlobalWithLength,used to create a paragraph of unique words with varying lengths,make a new paragraph,"

 public void makeUniqueParagraphForGlobalWithLength(String global, int length) {
    String paragraph = """""""";
    String word;
    for (int x = 0; x < length; x++) {
      word = makeUniqueStringForGlobalWithLength(global, (int)(Math.random() * 8) + 2);
      paragraph += word + """" """";
    }
    utils.setGlobal(global, paragraph);
  } 
"
39215677,iamNear,check if a player is next to another actor,this method is called when the voter is moving to the,"

 private boolean iamNear(Actor defender) {
        short xDiff = (short) (defender.getXpos() - getXpos());
        short yDiff = (short) (defender.getYpos() - getYpos());
        if (xDiff > 1 || yDiff > 1 || xDiff < -1 || yDiff < -1) {
            return false;
        }
        return true;
    } 
"
45929468,getRelFeedItems,feed feed item,get the feed item feed item,"

 public List getRelFeedItems(FeedItem feedItem) {
		final int feedId = feedItem.getFeed().getFeedId();
		final String sql = """"select * from T_FeedItem where FEED_ID ="""" + feedId;
		return getPagedListByNativeSQL(FeedItem.class, sql, """" id desc"""", 1, 20);
	} 
"
31788771,addUIDeployment,add a sand uideployment to our list of uis for this project,adds a <UNK> to the <UNK> rack,"

 public void addUIDeployment(SandUIDeployment uidep) {
        SandUIDeployment[] olduis=getSandUIDeployments();
        SandUIDeployment[] newuis=new SandUIDeployment[olduis.length+1];
        System.arraycopy(olduis,0,newuis,0,olduis.length);
        newuis[olduis.length]=uidep;
        setSandUIDeployments(newuis);
    } 
"
31789275,setGenJarDir,recursively walk the given project tree setting the gen jar dir,set the generation of the jar files,"

 public void setGenJarDir(File genJarDir,SandProject proj) {
        proj.getAntProject().setProperty(""""genJarDir"""",genJarDir.toString());
        SandProject[] downstream=proj.getRequiredBy();
        for(int i=0;i<downstream.length;i++) {
            setGenJarDir(genJarDir,downstream[i]); }
    } 
"
46707537,setValue,set this extensions value,sets the value of the value of the,"

 public void setValue(ASN1Type nval) throws java.security.cert.CertificateEncodingException {
	ByteArrayOutputStream baos = new ByteArrayOutputStream();

	try {
            nval.encode(new DEREncoder(baos));
            extnValue.setByteArray(baos.toByteArray());
	}
	catch (Exception e) {
            throw new java.security.cert.CertificateEncodingException(e.getMessage());
	}
	
    }   
16632712, private void initSelectedClassList() {
        for (IClassRelationShip classRelationShip : classRelationShipList) {
            String className = classRelationShip.getClassName();
            selectedClassList.add(className);
        }
        selectedClassesListModel = new CustomizedListModel(selectedClassList);
        classNamesList.setModel(selectedClassesListModel);
    } 
"
33519720,encode,encodes a string using base64 encoding,encodes a string using the base64 encoded string,"

 public String encode(String string) throws EncoderException {
        
        byte[] bytes, encoded_bytes;
        String encoded_string = """""""";
        
        try {
            bytes = string.getBytes(""""UTF-8"""");
            encoded_bytes = encodeBase64(bytes);
            encoded_string = new String(encoded_bytes);
        
        } catch (UnsupportedEncodingException ex) {
            ex.printStackTrace();
        }
        return encoded_string;
    } 
"
12074406,getPreferenceStore,creates and the code preference store code for this application,returns the preference store for the given shell,"

 private PreferenceStore getPreferenceStore(final Shell shell) {
		try {
			final File preferencesFile = new File(""""preferences.properties""""); //$NON-NLS-1$
			PreferenceStore store;

			if (!preferencesFile.exists()) {
				// create new preferences file
				preferencesFile.createNewFile();
			}

			store = new PreferenceStore(preferencesFile.getName());
			store.load();
			return store;
		} catch (final IOException e) {
			throw new PhotoListerException(""""Unable to load preferences.""""); //$NON-NLS-1$
		}
	} 
"
1782360,getImageWithSource,returns the first image found in the page with the specified src attribute,returns the image with the given source,"

 public WebImage getImageWithSource( String source ) {
        WebImage[] images = getImages();
        for (int i = 0; i < images.length; i++) {
            if (HttpUnitUtils.matches( source, images[i].getSource() )) return images[i];
        }
        return null;
    } 
"
48104729,clone,clone the format object,returns a clone of this code format code,"

     public Object clone() {
            Format result = new Format();

            result.datatype = datatype;
            result.datatypeID = datatypeID;
            result.respectCase = respectCase;
            result.gap = gap;
            result.missing = missing;
            result.labels = labels;
            result.labelQuotes = labelQuotes;
            result.transpose = transpose;
            result.interleave = interleave;
            result.diploid = diploid;
            result.tokens = tokens;
            result.symbols = symbols;
            result.matchChar = matchChar;

            return result;
        } 
"
39233258,getJSplitPane,this method initializes j split pane,this method initializes j split pane,"

 private JSplitPane getJSplitPane() {

        if (jSplitPane == null) {
            jSplitPane = new JSplitPane();

            DevicesTreePanel p = new DevicesTreePanel();
            p.addSelectionChangeListener(this);
            jSplitPane.setLeftComponent(p);
            jSplitPane.setRightComponent(getJTabbedPane());

            jSplitPane.setDividerSize(5);
            jSplitPane.setDividerLocation(200);
        }
        return jSplitPane;
    } 
"
45130358,evaluate,evaluates the numbers of hours in the xsd date time,evaluates the value of this external function,"

 public Value evaluate(Value value) throws ExternalFunctionException {
        
        if (!(value instanceof Literal)) {
            throw new ExternalFunctionException(""""Values need to be literals to be understood"""");
        }
        
        DateTime date = this.converter.convertDateTime((Literal) value);
        
        return this.converter.convertInteger(date.getHour());
    } 
"
