fid,name,ref,callcon,function
43040209,addErrors,adds the given error for the given property," adds the errors to the end of the given error ","

public void addErrors( String el, IErrorDescription... error ) {
    final IErrorDescription[] msg = errors.get( el );
    // we expect that the main scenario is to add only once errors per property...
    errors.put( el, msg == null ? error : merge( msg, error ));
} 
"
16777940,readFromFile,ask a file for the username and password," reads the file from the file and then shows it ","

private void readFromFile() {
    try {
        FileReader fr = new FileReader( this.credentials );
        BufferedReader br = new BufferedReader( fr );
        this.username = br.readLine();
        this.password = br.readLine();
        br.close();
        fr.close();
    }
    catch ( Exception e ) {
        this.username = """";
        this.password = """";
    }
} 
"
33718481,testGetEmail,test of get email method of class tools," test of get email method of class org ","

public void testGetEmail() {
    System.out.println( ""getEmail"" );
        
    String expResult = """";
    String result = instance.getEmail();
    assertEquals( expResult, result );
        
    // TODO review the generated test code and remove the default call to fail.
    //  fail( ""The test case is a prototype."" );
} 
"
45929468,getRelFeedItems,feed feed item," returns the list of the feed items for the given feed item","

public List getRelFeedItems( FeedItem feedItem ) {
    final int feedId = feedItem.getFeed().getFeedId();
    final String sql = ""select * from T_FeedItem where FEED_ID ="" + feedId;
    return getPagedListByNativeSQL( FeedItem.class, sql, "" id desc"", 1, 20 );
} 
"
2896279,print,returns a string representation of this regular expression," prints a tab ","

public String print( String tab ) {
    if ( content instanceof RegExp ) {
        return tab + ""type = "" + type + Out.NL + tab + ""content :"" + Out.NL + ((RegExp)content).print( tab+""  "" );
    }
    else
        return tab + ""type = "" + type + Out.NL + tab + ""content :"" + Out.NL + tab + ""  "" + content;
} 
"
27907979,atomToExpression,returns the expression for inserting or selecting the atom," convert atom to a <UNK> atom from the atom ","

private String atomToExpression( Atom atom, String name ) {
    String expr = name + "" = "";
		
    if ( atom instanceof BooleanAtom ) {
        BooleanAtom booleanAtom = ( BooleanAtom ) atom;
        try {
            if( booleanAtom.getBooleanValue() )
                expr += ""'T'"";
            else
                expr += ""'F'"";
        } catch ( InvalidStateException e ) {
            throw new Error( ""Thing in invalid boolean state"" );
        }
    }		
    else if ( atom instanceof TextAtom )
        expr += ""'"" + atom.getValue() + ""'"";
    else
        expr += atom.getValue();

    return expr;
} 
"
33719117,testSetChkEvtID,test of set chk evt id method of class com," test of set chk method of class wikipedia ","

public void testSetChkEvtID() {
    System.out.println( ""setChkEvtID"" );
        
    String ChkEvtID = """";
    Email_DBImpl instance = new Email_DBImpl();
        
    instance.setChkEvtID( ChkEvtID );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
12725774,actionPerformed,group select or deselct on all selected rows," invoked when the user presses the selected items ","

public void actionPerformed( ActionEvent e ) {
    int[] selectedRows = features.getSelectedRows();

    if ( selectedRows.length > 0 ) {
        boolean valueToBeSet = (( Boolean ) features.getValueAt(
            selectedRows[ 0 ], 0 )).booleanValue();

        for ( int i = 0; i < selectedRows.length; ++i ) {
            features.setValueAt( new Boolean( !valueToBeSet ), selectedRows[ i ], 0 );
        }
    }
} 
"
20950900,load,loads the image from a file," loads the file into the file ","

private void load( LockedFile file ) throws SQLIOException {
    file.setPosition( POS_HEADER );

    byte[] buffer = new byte[ BASE_HEADER_SIZE ];
    file.read( buffer, 0, BASE_HEADER_SIZE );

    type = buffer[ POS_TYPE ];
    lastUpdate = decode3Date( buffer, POS_LAST_UDPATE );
    recordsNum = DbfUtils.decodeLittleUint16( buffer, POS_RECORDS_NUM );
    recordSize = DbfUtils.decodeLittleUint16( buffer, POS_RECORD_SIZE );
    headerSize = DbfUtils.decodeLittleUint16( buffer, POS_HEADER_SIZE );

    verifyAndFixHeader( file );
} 
"
47479282,getAllSourceRoots,returns all of the source roots specified in the source bundle providing," returns the source roots of the plugin name ","

public Set getAllSourceRoots( String pluginName, Version pluginVersion ) {
    Set pluginSourceRoots = new HashSet();
    ManifestElement[] manifestElements = getSourceEntries( pluginName, pluginVersion );

    if ( manifestElements != null ) {
        for ( int j = 0; j < manifestElements.length; j++ ) {
            ManifestElement currentElement = manifestElements[ j ];
            addSourceRoots( currentElement.getDirective( ""roots"" ), pluginSourceRoots ); //$NON-NLS-1$
        }
    }
    return pluginSourceRoots;
} 
"
35061399,leaveAll,generate events to leave all components vertex edge or cell," removes the event from the list ","

private void leaveAll( MouseEvent<? extends EventHandler > event ) {
    LocInfo locInfo = new LocInfo();
    assert( !locInfo.isVertexLocValid() );
    assert( !locInfo.isVerticalEdgeLocValid() );
    assert( !locInfo.isHorizontalEdgeLocValid() );
    assert( !locInfo.isCellLocValid() );
    handleLeaveEvents( locInfo, event );
    lastLocInfo.copy( locInfo );
} 
"
31788771,addUIDeployment,add a sand uideployment to our list of uis for this project," internal method for <UNK> the <UNK> thread ","

public void addUIDeployment( SandUIDeployment uidep ) {
    SandUIDeployment[] olduis = getSandUIDeployments();
    SandUIDeployment[] newuis = new SandUIDeployment[ olduis.length + 1 ];
    System.arraycopy( olduis, 0, newuis, 0, olduis.length );
    newuis[ olduis.length ] = uidep;
    setSandUIDeployments( newuis );
} 
"
34609355,getFastestGenerator,returns the fastest generator for the given language," returns the fastest generator for the given locale ","

public WordFormGenerator getFastestGenerator( final Locale locale ) throws MorphologyException {
    if ( locale == null ) {
        throw new IllegalArgumentException( ""The 'loc' argument cannot be null."" );
    }
    WordFormGenerator component = ( WordFormGenerator ) fastestGenerators.get( locale );
    if ( component == null ) {
        throw new MorphologyException( ""Cannot find generator for locales : "" + locale.toString() );
    }
    return component;
} 
"
40776207,process,notifies the client that the worker is ready to receive calls to other," process a worker thread ","

public void process( WorkerIsReadyMessageHandle handle, ServiceManager serviceManager ) {
    WorkerIsReadyProcessorRequestTO to = new WorkerIsReadyProcessorRequestTO();
    ServiceID workerID = serviceManager.getSenderServiceID();
		
    to.setWorkerAddress( workerID.toString() );
    to.setWorkerContainerID( workerID.getContainerID().toString() );	
    OurGridRequestControl.getInstance().execute( to, serviceManager );
} 
"
41287529,play,start running the simulation from either a stopped or paused state," plays the current state ","

public void play(){
    if( currentState == SimulatorState.STOPPED ){
        setSimulationTime( 0 );
        simItem.initialize();
        startTimer();
        setState( SimulatorState.PLAYING );
    }
    else if( currentState == SimulatorState.PAUSED ){
        startTimer();
        setState( SimulatorState.PLAYING );
    }
} 
"
250694,getCollaborateCollection,returns the list of collaborate collections for the given user id," get a list of addresses that are logged in ","

public List getCollaborateCollection( String userID ) throws AccessException {
    logger.debug( ""entering getCollaborateCollection()"" );
    String query = ""SELECT collection.PID PID, collection.TITLE TITLE, ""
            + "" collectionrole.ROLE ROLE FROM collectionrole, collection WHERE ""
            + "" collectionrole.USERID = '"" + userID + ""'""
            + "" AND collectionrole.COLLECTIONPID = collection.PID""
            + "" AND collection.ROOT = '1'"";
    List list = buildResult( query );
    return list;
} 
"
49866815,createChecklistItem,creates a checklist item for the specified list," create a new checklist item ","

public long createChecklistItem( long listId, String item, boolean isDone ) {
    ContentValues values = new ContentValues();
    values.put( KEY_LIST_ID, listId );
    values.put( KEY_IS_DONE, isDone );
    values.put( KEY_ITEM, item );
    return mDb.insert( CHECKLIST_ITEM_TBL, null, values );
} 
"
27798254,pluginRegistryContains,tests if plugin is in registry," check if the plugin is already contained in the registry ","

public boolean pluginRegistryContains( String pluginName ) {
    synchronized ( registry ) {
        Iterator iter;

        for ( iter = registry.iterator(); iter.hasNext(); ) {
            PluginRegistryNode node = ( PluginRegistryNode )iter.next();
            if (  node.plugin.getName().equals( pluginName )) return true;
        }
    }
    return false;
} 
"
51577053,addPKColumn,adds a primarykey column," adds primary key column with column name ","

public void addPKColumn( String aPKColName ) throws IllegalArgumentException {
    Column col = ( Column ) colMap.get( aPKColName );

    if ( col == null ) {
        throw new IllegalArgumentException ( ""The column |"" + aPKColName
                        + ""| does not belong to the table |"" + name + ""|"" );
    }
    pkColumns.add( col );
} 
"
14477536,go,shake hands with the server," go through the user interface and send the user to the server","

public void go( String theUserName ) {
    try {
        new ChatUI(( MessageInputReceiver ) this, theUserName );
        // shake hands
        writer.println( theUserName );
        writer.flush();
        // OK means init with server went well

        if ( reader.readLine().equals( ""OK"" )) {
            initialized = true;
            readChat();
        } else {
            bailOut( new IOException( ""handshake failed"" ));
        }
    } catch ( IOException ioe ) {
        bailOut( ioe );
    } catch ( Exception e ) {
        bailOut( e );
    }
} 
"
19507414,testMoveRFWithNullContainer,ensures that a rodin file cannot be moved to a null container," tests if a null include not null container null if not found","

public void testMoveRFWithNullContainer() throws CoreException {
    IRodinFile rfSource = createRodinFile( ""/P/X.test"" );
    try {
        rfSource.move( null, null, null, false, null );
    } catch ( IllegalArgumentException iae ) {
        return;
    }
    assertTrue( ""Should not be able to move a rf to a null container"", false );
} 
"
50891793,testSetExample,test of set example method of class com," test of set example method of class nl ","

public void testSetExample() {
    System.out.println( ""testSetExample"" );
    testString = ""<tag:foo>|n"";
    testString += ""|t<tag:bar />"";
    testString += ""</tag:foo>"";
    tag.setExample( testString );
    assertEquals( tag.getExample(), testString );
} 
"
11759898,markStart,marks the start of the interval," mark the given tag ","

public void markStart( Object tag ) {
    synchronized ( pair2startTimeMap ) {
        pair2startTimeMap.put( tag, clock.getCurrentTime() );
        // FIXME it probably makes more sense to run the garbage collection
        // periodically instead of allocating the timer every time
        Timer removalTimer = clock.createNewTimer();
        removalTimer.addTimerListener( new GarbageCollectionTimerListener( tag ));
        removalTimer.schedule( Time.inMilliseconds( maxWait ));
    }
} 
"
1118165,modifyRoleInCache,role user cache resource cache," modifies the role in the cache ","

public void modifyRoleInCache( Role role, String orgRolename ) {
    Set users = role.getUsers();

    for ( Iterator iter = users.iterator(); iter.hasNext(); ) {
        User user = ( User ) iter.next();
        userDetailsInCache( user );
    }
    for ( Iterator iter = role.getRescs().iterator(); iter.hasNext(); ) {
        Resource resource = ( Resource ) iter.next();
        resourceDetailsInCache( resource );
    }
} 
"
1412807,capitalizeString,capitalizes the first letter of each word," capitalize the first letter of the beginning of a string ","

public String capitalizeString( String s ) {
    String result = """";
        
    for( int i = 0; i < s.length(); i++ ) {
        if ( i == 0 || s.substring( i - 1, i ).equals( "" "" ))
            result += s.substring( i, i + 1 ).toUpperCase();
        else
            result += s.substring( i, i + 1 );          
    }  
    return result;
} 
"
43303607,iconify,iconify the given frame," iconifies the frame location of the frame ","

public void iconify( final Frame frame ) {
    Point loc = getIconifyLocation( frame );

    if ( loc != null ) {
        mouseMove( frame, loc.x, loc.y );
    }
    invokeLater( frame, new Runnable() {
        public void run() {
            frame.setState( Frame.ICONIFIED );
        }
    });
} 
"
19346491,checkSetLayout,checks layout set correctly," check if the layout is a layout ","

private void checkSetLayout( int layout, String field ) {
    filter.setLayoutIndex( layout );
    assertEquals( ""The layout Index was "" + filter.getLayoutIndex()
            + "" and not "" + layout, layout, filter.getLayoutIndex() );

    String fld = fieldList.getValueAt( 1, 0 ).toString();
    assertEquals( ""Expected field '"" + field + ""' but got "" + fld, field, fld );
} 
"
50026101,getRemoteObject,return a reference to a remote object," returns the <UNK> object for the given <UNK> ","

public DBusInterface getRemoteObject( String objectpath ) throws DBusException {
    if ( null == objectpath ) { throw new DBusException(_( ""Invalid object path: null"" )); }

    if ( !objectpath.matches( OBJECT_REGEX )||( objectpath.length() > MAX_NAME_LENGTH )){ throw new DBusException(( ""Invalid object path: "" ) + objectpath); }

    return dynamicProxy( objectpath );
} 
"
33719869,testSetWelcomeMsg,test of set welcome msg method of class com," test of set welcome message method of class slide ","

public void testSetWelcomeMsg() {
    System.out.println( ""setWelcomeMsg"" );
    String welcomeMsg = """";
    SystemClient_DBImpl instance = new SystemClient_DBImpl();     
    instance.setWelcomeMsg( welcomeMsg );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
4627680,updateSchema,update an already existent user schema," updates the schema from the given schema ","

public void updateSchema( String kind, SchemaTO schemaTO ) {
    try {
        restTemplate.postForObject( baseURL + ""schema/"" + kind + ""/update"", schemaTO, SchemaTO.class );
    } catch ( SyncopeClientCompositeErrorException e ) {
        LOG.error( ""While updating a user schema"", e );
    }
} 
"
39840471,testCookieGreaterThan,verify the value stored in a cookie using code greater than tag code," tests if the cookie is greater than the same value ","

public void testCookieGreaterThan() throws ServletException,  JspException {
    GreaterThanTag gt = new GreaterThanTag();
    gt.setPageContext( pageContext );
    gt.setCookie( COOKIE_KEY );
    gt.setValue( LESSER_VAL );

    assertTrue(
        ""Cookie Value ("" + GREATER_VAL + "") is greater than value ("" + LESSER_VAL + "")"", 
        gt.condition());
} 
"
